transaction_amount;hour_of_day;is_weekend;num_items;customer_age;prev_transactions;distance_from_home;device_type;network_quality;is_first_transaction;store_type;velocity_score;is_fraud
161,36;3;0;2;18;2;26,54;1;48,4;0;0;3,72;0
116,2;1;1;4;26;2;50,71;0;76,14;0;0;4,95;0
1,0;2;0;5;18;3;9,47;0;67,6;0;0;4,56;0
48,78;2;0;3;44;3;41,08;0;94,83;0;0;6,92;0
99,48;3;0;4;38;8;17,32;2;100,0;0;1;5,54;1
99,48;1;1;2;20;2;43,37;2;67,91;1;1;4,99;1
74,69;3;0;4;48;5;16,76;0;82,44;0;0;4,99;0
17,93;1;0;1;33;3;2,02;0;77,47;0;0;4,94;1
74,37;3;0;3;35;1;64,71;0;30,87;0;0;7,78;0
177,02;2;0;5;29;3;31,28;0;70,97;0;1;5,14;0
46,88;2;0;7;28;0;17,32;1;76,14;0;1;6,33;0
95,89;3;0;2;42;11;0,45;1;63,04;0;1;4,99;0
118,2;3;0;0;23;13;18,03;1;83,57;0;0;3,55;0
110,36;2;0;3;35;0;22,99;0;75,31;0;0;7,7;0
142,84;3;0;7;41;9;19,6;0;97,18;0;0;2,86;0
118,38;1;0;1;47;1;45,99;0;84,23;0;0;4,28;0
153,58;3;0;2;51;0;17,32;0;70,52;0;1;4,99;0
134,01;3;0;2;34;0;27,71;0;78,54;0;0;3,52;0
80,42;3;0;3;38;3;1,48;1;46,18;0;0;8,2;0
95,2;2;0;2;18;1;19,54;1;60,68;0;0;6,2;0
26,66;2;0;1;35;0;2,32;0;51,52;0;0;4,46;0
1,0;2;0;3;18;2;57,4;1;75,31;0;0;5,46;0
24,28;2;0;1;55;2;46,61;0;62,86;0;0;3,25;0
78,97;2;0;3;31;0;17,32;0;77,8;0;0;4,12;0
99,48;3;0;8;33;8;17,32;2;77,99;0;0;1,77;0
185,59;1;0;3;29;3;17,32;0;92,25;0;0;2,97;1
74,44;2;0;2;55;2;13,35;0;95,86;0;0;1,85;1
95,63;2;0;7;18;7;58,04;0;72,09;0;1;3,03;1
75,31;1;0;3;34;3;19,64;1;100,0;0;0;6,83;0
55,95;2;0;10;45;13;21,18;1;94,74;0;0;4,99;1
141,95;1;0;2;35;7;63,1;1;91,33;0;1;3,62;0
203,77;2;1;1;35;2;6,27;2;87,42;0;0;3,45;0
137,78;2;0;2;45;1;14,38;0;25,81;0;0;7,78;0
103,91;2;0;3;32;7;3,49;2;75,41;0;1;7,83;0
22,63;3;0;4;18;3;1,49;0;45,63;0;0;5,96;0
118,25;3;0;1;18;3;2,4;0;100,0;1;1;4,99;1
129,3;3;0;6;50;2;17,32;2;67,37;0;1;2,6;0
111,54;2;0;3;31;13;0,22;1;67,32;0;1;4,99;1
193,99;3;0;4;42;5;10,41;2;100,0;0;0;4,99;0
122,83;2;0;1;46;3;10,68;1;22,32;0;0;1,8;0
73,32;2;0;0;34;3;20,68;0;81,75;0;0;4,99;0
125,4;2;0;0;22;2;4,06;2;100,0;0;1;7,95;0
83,27;2;0;5;35;0;5,18;1;68,93;0;1;1,61;0
62,4;2;0;3;18;1;43,1;0;84,25;0;0;2,58;0
25,85;2;0;1;18;3;17,32;1;40,55;0;1;4,93;0
122,68;1;0;3;41;8;68,23;0;98,25;0;0;3,0;0
44,89;3;0;4;20;2;10,44;0;53,78;0;1;5,45;0
73,06;2;0;5;36;4;0,78;0;44,33;0;0;4,12;1
102,05;2;0;3;39;2;2,56;1;72,22;0;0;4,48;0
172,68;3;0;4;35;6;8,33;1;65,18;1;0;5,2;0
75,85;1;0;2;74;2;12,51;1;75,81;0;0;2,02;0
2,02;2;0;1;42;3;3,86;0;100,0;0;0;6,74;1
